Regex;Lines;Visited;Cache Size(Found);Counters;Max Counter;Sum Counters;Max CS;Avrg CS;DCA-states;DCA-trans;Deter-TIME [milisec];Status
pattern;ERROR WHILE CONVERTING TO DCA.
^/arvados/v1/collections/([0-9a-fA-F]{32}\+[0-9]+)+$;1;58;58;1;32;32;1;3,3E-05;26;27;75;Text generated.
([A-HJ-Z])(?:\s*((?:\d{1}\s*\d{1})|(?:\d{2}\s*\d{2})|(?:\d{3}\s*\d{3})|(?:\d{4}\s*\d{4})|(?:\d{5}\s*\d{5})))+;2;5;6;8;5;28;4;8E-06;292;6492;11534;Text generated.
^(([^<>()[\]\.,:\s@]+(\.[^<>()[\]\.,:\s@]+)*)|(.+))@[a-zA-Z0-9](?:[a-zA-Z0-9-]{2,61}[a-zA-Z0-9])+(?:\.[a-zA-Z0-9](?:[a-zA-Z0-9-]{2,61}[a-zA-Z0-9])+)*$;2;66;127;2;61;122;1;0,000121;12;43;12468;Text generated.
^(?i)[0-9a-z\\_\.\-]{1,100}:[0-9]+$;1;103;103;1;100;100;1;0,000101;3;4;12539;Text generated.
^[0-9a-zA-Z]([-0-9a-zA-Z]{2,48}[0-9a-zA-Z])+$;2;51;97;1;48;48;1;9,5E-05;4;7;12565;Text generated.
^[A-Za-z0-9](?:[A-Za-z0-9\-]{2,61}[A-Za-z0-9])+$;2;64;123;1;61;61;1;0,000121;4;7;12584;Text generated.
^[a-zA-Z0-9]([-._a-zA-Z0-9]{2,48}[a-zA-Z0-9])+$;2;51;97;1;48;48;1;9,5E-05;4;7;12608;Text generated.
[a-zA-Z0-9][a-zA-Z0-9_]{2,29};2;4;6;1;29;29;3;9E-06;4;10;12637;Text generated.
http://\\.?video\\.google+\\.\\w{2,3}/videoplay\\?docid=[\\w-]{19};2;65;69;2;19;22;1;2,4E-05;94;292;12729;Text generated.
^SSH-[^\x0a]{600};1;605;605;1;600;600;1;0,000601;7;10;12755;Text generated.
^HELO [^\x0a]{500};1;506;506;1;500;500;1;0,000501;8;11;12876;Text generated.
^ETRN [^\x0A]{500};1;506;506;1;500;500;1;0,000501;8;11;12950;Text generated.
^200 [^\x0a]{64};1;69;69;1;64;64;1;6,5E-05;7;10;13003;Text generated.
^\n*TRACE[^s]{432};1;438;438;1;432;432;1;0,000433;8;12;13022;Text generated.
^\n*PUT[^s]{432};1;436;436;1;432;432;1;0,000433;6;10;13080;Text generated.
^\n*POST[^s]{432};1;437;437;1;432;432;1;0,000433;7;11;13121;Text generated.
^\n*MOVE[^s]{432};1;437;437;1;432;432;1;0,000433;7;11;13154;Text generated.
^\n*MKCOL[^s]{432};1;438;438;1;432;432;1;0,000433;8;12;13208;Text generated.
^\n*LOCK[^s]{432};1;437;437;1;432;432;1;0,000433;7;11;13271;Text generated.
^\n*HEAD[^s]{432};1;437;437;1;432;432;1;0,000433;7;11;13319;Text generated.
^\n*GET[^s]{432};1;436;436;1;432;432;1;0,000433;6;10;13378;Text generated.
^\n*DELETE[^s]{432};1;439;439;1;432;432;1;0,000433;9;13;13418;Text generated.
^\n*COPY[^s]{432};1;437;437;1;432;432;1;0,000433;7;11;13455;Text generated.
^\n*200[\x20\x09\x0b][^\n]{64};1;69;69;1;64;64;1;6,5E-05;7;11;13530;Text generated.
^\n*[xXmMkKdD][\x20\x09\x0b][^\n]{100};1;103;103;1;100;100;1;0,000101;5;9;13556;Text generated.
^\n*[xX][tT][nN][dD][\x20\x09\x0b][^\n]{50};1;56;56;1;50;50;1;5,1E-05;8;12;13597;Text generated.
^\n*[vV][rR][fF][yY][^\n]{255,};1;260;260;1;255;255;1;0,000256;8;15;13617;Text generated.
^\n*[uU][sS][eE][rR][nN][aA][mM][eE]\:[^\n]{100};1;110;110;1;100;100;1;0,000101;12;16;13690;Text generated.
^\n*[uU][sS][eE][rR][^\x0a]{49};1;54;54;1;49;49;1;5E-05;7;11;13725;Text generated.
^\n*[uU][sS][eE][rR][\x20\x09\x0b][^\n]{50,};1;56;56;1;50;50;1;5,1E-05;9;16;13761;Text generated.
^\n*[uU][sS][eE][rR][\x20\x09\x0b][^\n]{49};1;55;55;1;49;49;1;5E-05;8;12;13781;Text generated.
